"school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","nursery","internet","traveltime","failures","schoolsup","activities","higher","romantic","famrel","freetime","goout","Dalc","Walc","health","guardian","famsup","studytime","paid.mat","absences.mat","G1.mat","G2.mat","G3.mat","paid.por","absences.por","G1.por","G2.por","G3.por"
"1","GP","F",15,"R","GT3","T",1,1,"at_home","other","home","yes","yes",2,0,"yes","yes","yes","no",3,1,2,1,1,1,"mother","yes",4,NA,NA,NA,NA,NA,"yes",4,13,13,13
"2","GP","F",15,"R","GT3","T",1,1,"at_home","other","home","yes","yes",2,1,"yes","yes","yes","no",3,1,2,1,1,1,"mother","yes",4,"yes",2,7,10,10,NA,NA,NA,NA,NA
"3","GP","F",15,"R","GT3","T",1,1,"other","other","course","yes","yes",3,1,"no","yes","yes","yes",5,5,5,1,1,1,"mother","no",1,NA,NA,NA,NA,NA,"no",2,8,9,9
"4","GP","F",15,"R","GT3","T",1,1,"other","other","reputation","no","yes",1,0,"yes","no","yes","yes",3,3,4,2,4,5,"mother","yes",2,NA,NA,NA,NA,NA,"no",2,13,11,11
"5","GP","F",15,"R","GT3","T",1,1,"other","other","reputation","no","yes",1,2,"yes","no","yes","yes",3,3,4,2,4,5,"mother","yes",2,"no",2,8,6,5,NA,NA,NA,NA,NA
"6","GP","F",15,"R","GT3","T",2,2,"at_home","other","reputation","yes","no",1,0,"yes","yes","yes","no",4,3,1,1,1,2,"mother","yes",1,"yes",8,14,13,13,"no",8,14,13,12
"7","GP","F",15,"R","GT3","T",2,4,"services","health","course","yes","yes",1,0,"yes","yes","yes","no",4,3,2,1,1,5,"mother","yes",3,"yes",2,10,9,8,"no",2,10,11,10
"8","GP","F",15,"R","GT3","T",3,3,"services","services","reputation","yes","yes",2,0,"no","yes","yes","yes",4,2,1,2,3,3,"other","yes",3,NA,NA,NA,NA,NA,"yes",2,13,13,13
"9","GP","F",15,"R","GT3","T",3,3,"services","services","reputation","yes","yes",2,2,"no","yes","yes","yes",4,2,1,2,3,3,"other","yes",3,"yes",8,10,10,10,NA,NA,NA,NA,NA
"10","GP","F",15,"R","GT3","T",3,4,"services","health","course","yes","yes",1,0,"yes","yes","yes","no",4,3,2,1,1,5,"mother","yes",3,"yes",2,12,12,11,"no",2,11,12,12
"11","GP","F",15,"R","GT3","T",3,4,"services","teacher","course","yes","yes",2,0,"no","no","yes","yes",4,2,2,2,2,5,"father","yes",3,NA,NA,NA,NA,NA,"no",0,10,11,12
"12","GP","F",15,"R","GT3","T",3,4,"services","teacher","course","yes","yes",2,2,"no","no","yes","yes",4,2,2,2,2,5,"father","yes",3,"no",0,12,0,0,NA,NA,NA,NA,NA
"13","GP","F",15,"R","LE3","T",2,2,"health","services","reputation","yes","yes",2,0,"yes","no","yes","no",4,1,3,1,3,4,"mother","yes",2,"yes",2,8,9,8,"no",0,11,10,11
"14","GP","F",15,"R","LE3","T",3,1,"other","other","reputation","no","yes",2,0,"no","no","yes","no",4,4,2,2,3,3,"father","yes",4,"no",12,16,16,16,"no",6,15,15,15
"15","GP","F",15,"U","GT3","A",3,3,"other","health","reputation","yes","no",1,0,"yes","no","yes","no",4,3,3,1,1,4,"father","no",4,"no",10,10,11,11,"no",10,10,10,10
"16","GP","F",15,"U","GT3","A",3,3,"services","services","home","no","no",1,0,"no","no","yes","yes",1,3,2,2,3,1,"mother","no",2,NA,NA,NA,NA,NA,"no",24,9,8,9
"17","GP","F",15,"U","GT3","A",4,3,"services","services","reputation","yes","yes",1,0,"no","yes","yes","no",4,3,2,1,1,1,"mother","yes",2,"yes",0,14,15,15,"no",0,15,14,15
"18","GP","F",15,"U","GT3","T",1,1,"at_home","other","course","no","yes",3,0,"no","yes","yes","yes",4,3,3,1,2,4,"mother","yes",1,"no",0,8,0,0,"no",6,11,12,13
"19","GP","F",15,"U","GT3","T",1,1,"other","other","home","no","yes",1,0,"no","yes","yes","no",4,3,2,2,3,4,"father","yes",2,"no",2,9,10,10,"no",2,13,12,12
"20","GP","F",15,"U","GT3","T",1,1,"other","services","course","yes","yes",1,0,"no","no","yes","no",4,4,2,1,2,5,"father","yes",2,"yes",0,8,11,11,"no",0,12,12,12
"21","GP","F",15,"U","GT3","T",1,2,"at_home","other","course","no","yes",1,0,"no","no","yes","no",4,3,2,1,1,5,"mother","yes",2,"yes",2,10,11,11,"no",6,13,12,13
"22","GP","F",15,"U","GT3","T",1,2,"at_home","services","course","no","no",1,0,"no","no","yes","yes",2,3,4,2,4,1,"father","no",2,NA,NA,NA,NA,NA,"no",6,11,11,11
"23","GP","F",15,"U","GT3","T",1,2,"at_home","services","course","no","yes",1,0,"no","no","yes","no",3,2,3,1,2,1,"mother","no",2,"no",2,16,15,15,"no",0,14,14,14
"24","GP","F",15,"U","GT3","T",2,1,"services","other","reputation","yes","yes",3,0,"no","yes","yes","no",5,2,2,1,1,4,"father","yes",3,"no",4,10,12,12,"no",0,10,12,13
"25","GP","F",15,"U","GT3","T",2,2,"other","other","course","yes","yes",1,0,"yes","no","yes","no",5,1,2,1,1,3,"mother","yes",4,"yes",8,7,8,8,"no",4,10,10,10
"26","GP","F",15,"U","GT3","T",2,3,"other","other","other","yes","no",2,0,"no","yes","yes","no",3,5,1,1,1,5,"father","yes",1,"no",0,8,7,6,"no",4,11,11,11
